code,description,chapter,chapter_desc,section,section_desc,inclusion_terms,includes,excludes1,excludes2,use_additional_code,code_first,notes,seven_char_note,seven_char_def_extensions,seven_char_def_notes,parent_codes
A41,Other sepsis,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],"['bacteremia NOS (R78.81)', 'neonatal (P36.-)', 'puerperal sepsis (O85)', 'streptococcal sepsis (A40.-)']","['sepsis (due to) (in) actinomycotic (A42.7)', 'sepsis (due to) (in) anthrax (A22.7)', 'sepsis (due to) (in) candidal (B37.7)', 'sepsis (due to) (in) Erysipelothrix (A26.7)', 'sepsis (due to) (in) extraintestinal yersiniosis (A28.2)', 'sepsis (due to) (in) gonococcal (A54.86)', 'sepsis (due to) (in) herpesviral (B00.7)', 'sepsis (due to) (in) listerial (A32.7)', 'sepsis (due to) (in) melioidosis (A24.1)', 'sepsis (due to) (in) meningococcal (A39.2-A39.4)', 'sepsis (due to) (in) plague (A20.7)', 'sepsis (due to) (in) tularemia (A21.7)', 'toxic shock syndrome (A48.3)']",[],"[', if applicable, postprocedural sepsis (T81.44-)', 'sepsis due to central venous catheter (T80.211-)', 'sepsis during labor (O75.3)', 'sepsis following abortion, ectopic or molar pregnancy (O03.37, O03.87, O04.87, O07.37, O08.82)', 'sepsis following immunization (T88.0-)', 'sepsis following infusion, transfusion or therapeutic injection (T80.22-, T80.29-)']",[],[],{},[],[]
A42,Actinomycosis,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],['actinomycetoma (B47.1)'],[],[],[],[],[],{},[],[]
A43,Nocardiosis,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A44,Bartonellosis,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A46,Erysipelas,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],['postpartum or puerperal erysipelas (O86.89)'],[],[],[],[],[],{},[],[]
A48,"Other bacterial diseases, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],['actinomycetoma (B47.1)'],[],[],[],[],[],{},[],[]
A49,Bacterial infection of unspecified site,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],"['bacterial agents as the cause of diseases classified elsewhere (B95-B96)', 'chlamydial infection NOS (A74.9)', 'meningococcal infection NOS (A39.9)', 'rickettsial infection NOS (A79.9)', 'spirochetal infection NOS (A69.9)']",[],[],[],[],[],{},[],[]
A50,Congenital syphilis,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A51,Early syphilis,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A52,Late syphilis,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A53,Other and unspecified syphilis,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A54,Gonococcal infection,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A55,Chlamydial lymphogranuloma (venereum),1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),"['Climatic or tropical bubo', 'Durand-Nicolas-Favre disease', 'Esthiomene', 'Lymphogranuloma inguinale']",[],[],[],[],[],[],[],{},[],[]
A56,Other sexually transmitted chlamydial diseases,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],"['sexually transmitted diseases due to Chlamydia', 'trachomatis']","['neonatal chlamydial conjunctivitis (P39.1)', 'neonatal chlamydial pneumonia (P23.1)']","['chlamydial lymphogranuloma (A55)', 'conditions classified to A74.-']",[],[],[],[],{},[],[]
A57,Chancroid,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),['Ulcus molle'],[],[],[],[],[],[],[],{},[],[]
A58,Granuloma inguinale,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),['Donovanosis'],[],[],[],[],[],[],[],{},[],[]
A59,Trichomoniasis,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],['intestinal trichomoniasis (A07.8)'],[],[],[],[],{},[],[]
A60,Anogenital herpesviral [herpes simplex] infections,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],"['molluscum contagiosum (B08.1)', 'papilloma of cervix (D26.0)']",[],[],[],[],{},[],[]
A64,Unspecified sexually transmitted disease,1,Certain infectious and parasitic diseases (A00-B99),,Infections with a predominantly sexual mode of transmission (A50-A64),[],[],[],[],[],[],[],[],{},[],[]
A65,Nonvenereal syphilis,1,Certain infectious and parasitic diseases (A00-B99),,Other spirochetal diseases (A65-A69),"['Bejel', 'Endemic syphilis', 'Njovera']",[],[],[],[],[],[],[],{},[],[]
A66,Yaws,1,Certain infectious and parasitic diseases (A00-B99),,Other spirochetal diseases (A65-A69),[],"['bouba', 'frambesia (tropica)', 'pian']",[],[],[],[],[],[],{},[],[]
A67,Pinta [carate],1,Certain infectious and parasitic diseases (A00-B99),,Other spirochetal diseases (A65-A69),[],[],[],[],[],[],[],[],{},[],[]
A68,Relapsing fevers,1,Certain infectious and parasitic diseases (A00-B99),,Other spirochetal diseases (A65-A69),[],['recurrent fever'],[],['Lyme disease (A69.2-)'],[],[],[],[],{},[],[]
A69,Other spirochetal infections,1,Certain infectious and parasitic diseases (A00-B99),,Other spirochetal diseases (A65-A69),[],[],[],[],[],[],[],[],{},[],[]
A70,Chlamydia psittaci infections,1,Certain infectious and parasitic diseases (A00-B99),,Other diseases caused by chlamydiae (A70-A74),"['Ornithosis', 'Parrot fever', 'Psittacosis']",[],[],[],[],[],[],[],{},[],[]
A71,Trachoma,1,Certain infectious and parasitic diseases (A00-B99),,Other diseases caused by chlamydiae (A70-A74),[],[],['sequelae of trachoma (B94.0)'],[],[],[],[],[],{},[],[]
A74,Other diseases caused by chlamydiae,1,Certain infectious and parasitic diseases (A00-B99),,Other diseases caused by chlamydiae (A70-A74),[],[],"['neonatal chlamydial conjunctivitis (P39.1)', 'neonatal chlamydial pneumonia (P23.1)', ""Reiter's disease (M02.3-)"", 'sexually transmitted chlamydial diseases (A55-A56)']",['chlamydial pneumonia (J16.0)'],[],[],[],[],{},[],[]
A75,Typhus fever,1,Certain infectious and parasitic diseases (A00-B99),,Rickettsioses (A75-A79),[],[],['rickettsiosis due to Ehrlichia sennetsu (A79.81)'],[],[],[],[],[],{},[],[]
A77,Spotted fever [tick-borne rickettsioses],1,Certain infectious and parasitic diseases (A00-B99),,Rickettsioses (A75-A79),[],[],[],[],[],[],[],[],{},[],[]
A78,Q fever,1,Certain infectious and parasitic diseases (A00-B99),,Rickettsioses (A75-A79),"['Infection due to Coxiella burnetii', 'Nine Mile fever', 'Quadrilateral fever']",[],[],[],[],[],[],[],{},[],[]
A79,Other rickettsioses,1,Certain infectious and parasitic diseases (A00-B99),,Rickettsioses (A75-A79),[],[],[],[],[],[],[],[],{},[],[]
A80,Acute poliomyelitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],[],['acute flaccid myelitis (G04.82)'],[],[],[],[],[],{},[],[]
A81,Atypical virus infections of central nervous system,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],['diseases of the central nervous system caused by prions'],[],[],"['code, if applicable, to identify:', 'dementia with anxiety (F02.84, F02.A4, F02.B4, F02.C4)', 'dementia with behavioral disturbance (F02.81-, F02.A1-, F02.B1-, F02.C1-)', 'dementia with mood disturbance (F02.83, F02.A3, F02.B3, F02.C3)', 'dementia with psychotic disturbance (F02.82, F02.A2, F02.B2, F02.C2)', 'dementia without behavioral disturbance (F02.80, F02.A0, F02.B0, F02.C0)', 'mild neurocognitive disorder due to known physiological condition (F06.7-)']",[],[],[],{},[],[]
A82,Rabies,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],[],[],[],[],[],[],[],{},[],[]
A83,Mosquito-borne viral encephalitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],['mosquito-borne viral meningoencephalitis'],[],"['Venezuelan equine encephalitis (A92.2)', 'West Nile fever (A92.3-)', 'West Nile virus (A92.3-)']",[],[],[],[],{},[],[]
A84,Tick-borne viral encephalitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],['tick-borne viral meningoencephalitis'],[],[],[],[],[],[],{},[],[]
A85,"Other viral encephalitis, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],"['specified viral encephalomyelitis NEC', 'specified viral meningoencephalitis NEC']","['encephalitis due to cytomegalovirus (B25.8)', 'encephalitis due to herpesvirus NEC (B10.0-)', 'encephalitis due to herpesvirus [herpes simplex] (B00.4)', 'encephalitis due to measles virus (B05.0)', 'encephalitis due to mumps virus (B26.2)', 'encephalitis due to poliomyelitis virus (A80.-)', 'encephalitis due to zoster (B02.0)', 'lymphocytic choriomeningitis (A87.2)', 'myalgic encephalomyelitis (G93.32)']",[],[],[],[],[],{},[],[]
A86,Unspecified viral encephalitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),"['Viral encephalomyelitis NOS', 'Viral meningoencephalitis NOS']",[],[],[],[],[],[],[],{},[],[]
A87,Viral meningitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],[],"['meningitis due to herpesvirus [herpes simplex] (B00.3)', 'meningitis due to measles virus (B05.1)', 'meningitis due to mumps virus (B26.1)', 'meningitis due to poliomyelitis virus (A80.-)', 'meningitis due to zoster (B02.1)']",[],[],[],[],[],{},[],[]
A88,"Other viral infections of central nervous system, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],[],"['viral encephalitis NOS (A86)', 'viral meningitis NOS (A87.9)']",[],[],[],[],[],{},[],[]
A89,Unspecified viral infection of central nervous system,1,Certain infectious and parasitic diseases (A00-B99),,Viral and prion infections of the central nervous system (A80-A89),[],[],[],[],[],[],[],[],{},[],[]
A90,Dengue fever [classical dengue],1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],['dengue hemorrhagic fever (A91)'],[],[],[],[],[],{},[],[]
A91,Dengue hemorrhagic fever,1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],[],[],[],[],[],[],{},[],[]
A92,Other mosquito-borne viral fevers,1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],['Ross River disease (B33.1)'],[],[],[],[],[],{},[],[]
A93,"Other arthropod-borne viral fevers, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],[],[],[],[],[],[],{},[],[]
A94,Unspecified arthropod-borne viral fever,1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),"['Arboviral fever NOS', 'Arbovirus infection NOS']",[],[],[],[],[],[],[],{},[],[]
A95,Yellow fever,1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],[],[],[],[],[],[],{},[],[]
A96,Arenaviral hemorrhagic fever,1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],[],[],[],[],[],[],{},[],[]
A98,"Other viral hemorrhagic fevers, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],"['chikungunya hemorrhagic fever (A92.0)', 'dengue hemorrhagic fever (A91)']",[],[],[],[],[],{},[],[]
A99,Unspecified viral hemorrhagic fever,1,Certain infectious and parasitic diseases (A00-B99),,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),[],[],[],[],[],[],[],[],{},[],[]
B00,Herpesviral [herpes simplex] infections,1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],[],['congenital herpesviral infections (P35.2)'],"['anogenital herpesviral infection (A60.-)', 'gammaherpesviral mononucleosis (B27.0-)', 'herpangina (B08.5)']",[],[],[],[],{},[],[]
B01,Varicella [chickenpox],1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],[],[],[],[],[],[],[],{},[],[]
B02,Zoster [herpes zoster],1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],"['shingles', 'zona']",[],[],[],[],[],[],{},[],[]
B03,Smallpox,1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],[],[],[],[],[],"['In 1980 the 33rd World Health Assembly declared that smallpox had been eradicated.', 'The classification is maintained for surveillance purposes.']",[],{},[],[]
B04,Monkeypox,1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),['Mpox'],[],[],[],[],[],[],[],{},[],[]
B05,Measles,1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],['morbilli'],['subacute sclerosing panencephalitis (A81.1)'],[],[],[],[],[],{},[],[]
B06,Rubella [German measles],1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],[],['congenital rubella (P35.0)'],[],[],[],[],[],{},[],[]
B07,Viral warts,1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],"['verruca simplex', 'verruca vulgaris', 'viral warts due to human papillomavirus']",[],"['anogenital (venereal) warts (A63.0)', 'papilloma of bladder (D41.4)', 'papilloma of cervix (D26.0)', 'papilloma larynx (D14.1)']",[],[],[],[],{},[],[]
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),[],[],['vesicular stomatitis virus disease (A93.8)'],[],[],[],[],[],{},[],[]
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,1,Certain infectious and parasitic diseases (A00-B99),,Viral infections characterized by skin and mucous membrane lesions (B00-B09),"['Viral enanthema NOS', 'Viral exanthema NOS']",[],[],[],[],[],[],[],{},[],[]
B10,Other human herpesviruses,1,Certain infectious and parasitic diseases (A00-B99),,Other human herpesviruses (B10),[],[],[],"['cytomegalovirus (B25.9)', 'Epstein-Barr virus (B27.0-)', 'herpes NOS (B00.9)', 'herpes simplex (B00.-)', 'herpes zoster (B02.-)', 'human herpesvirus NOS (B00.-)', 'human herpesvirus 1 and 2 (B00.-)', 'human herpesvirus 3 (B01.-, B02.-)', 'human herpesvirus 4 (B27.0-)', 'human herpesvirus 5 (B25.-)', 'varicella (B01.-)', 'zoster (B02.-)']",[],[],[],[],{},[],[]
B15,Acute hepatitis A,1,Certain infectious and parasitic diseases (A00-B99),,Viral hepatitis (B15-B19),[],[],[],[],[],[],[],[],{},[],[]
B16,Acute hepatitis B,1,Certain infectious and parasitic diseases (A00-B99),,Viral hepatitis (B15-B19),[],[],[],[],[],[],[],[],{},[],[]
B17,Other acute viral hepatitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral hepatitis (B15-B19),[],[],[],[],[],[],[],[],{},[],[]
B18,Chronic viral hepatitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral hepatitis (B15-B19),[],['Carrier of viral hepatitis'],[],[],[],[],[],[],{},[],[]
B19,Unspecified viral hepatitis,1,Certain infectious and parasitic diseases (A00-B99),,Viral hepatitis (B15-B19),[],[],[],[],[],[],[],[],{},[],[]
B20,Human immunodeficiency virus [HIV] disease,1,Certain infectious and parasitic diseases (A00-B99),,Human immunodeficiency virus [HIV] disease (B20),[],"['acquired immune deficiency syndrome [AIDS]', 'AIDS-related complex [ARC]', 'HIV infection, symptomatic']","['asymptomatic human immunodeficiency virus [HIV] infection status (Z21)', 'exposure to HIV virus (Z20.6)', 'inconclusive serologic evidence of HIV (R75)']",[],['code(s) to identify all manifestations of HIV infection'],"['Human immunodeficiency virus [HIV] disease complicating pregnancy, childbirth and the puerperium, if applicable (O98.7-)']",[],[],{},[],[]
B25,Cytomegaloviral disease,1,Certain infectious and parasitic diseases (A00-B99),,Other viral diseases (B25-B34),[],[],"['congenital cytomegalovirus infection (P35.1)', 'cytomegaloviral mononucleosis (B27.1-)']",[],[],[],[],[],{},[],[]
B26,Mumps,1,Certain infectious and parasitic diseases (A00-B99),,Other viral diseases (B25-B34),[],"['epidemic parotitis', 'infectious parotitis']",[],[],[],[],[],[],{},[],[]
B27,Infectious mononucleosis,1,Certain infectious and parasitic diseases (A00-B99),,Other viral diseases (B25-B34),[],"['glandular fever', 'monocytic angina', ""Pfeiffer's disease""]",[],[],[],[],[],[],{},[],[]
B30,Viral conjunctivitis,1,Certain infectious and parasitic diseases (A00-B99),,Other viral diseases (B25-B34),[],[],"['herpesviral [herpes simplex] ocular disease (B00.5)', 'ocular zoster (B02.3)']",[],[],[],[],[],{},[],[]
B33,"Other viral diseases, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Other viral diseases (B25-B34),[],[],[],[],[],[],[],[],{},[],[]
B34,Viral infection of unspecified site,1,Certain infectious and parasitic diseases (A00-B99),,Other viral diseases (B25-B34),[],[],"['anogenital human papillomavirus infection (A63.0)', 'cytomegaloviral disease NOS (B25.9)', 'herpesvirus [herpes simplex] infection NOS (B00.9)', 'retrovirus infection NOS (B33.3)', 'viral agents as the cause of diseases classified elsewhere (B97.-)', 'viral warts due to human papillomavirus infection (B07)']",[],[],[],[],[],{},[],[]
B35,Dermatophytosis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],"['favus', 'infections due to species of Epidermophyton, Micro-sporum and Trichophyton', 'tinea, any type except those in B36.-']",[],[],[],[],[],[],{},[],[]
B36,Other superficial mycoses,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],[],[],[],[],[],[],[],{},[],[]
B37,Candidiasis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],"['candidosis', 'moniliasis']",['neonatal candidiasis (P37.5)'],[],[],[],[],[],{},[],[]
B38,Coccidioidomycosis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],[],[],[],[],[],[],[],{},[],[]
B39,Histoplasmosis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],[],[],[],"['code for any associated manifestations, such as:', 'endocarditis (I39)', 'meningitis (G02)', 'pericarditis (I32)', 'retinitis (H32)']",['associated AIDS (B20)'],[],[],{},[],[]
B40,Blastomycosis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],[],"['Brazilian blastomycosis (B41.-)', 'keloidal blastomycosis (B48.0)']",[],[],[],[],[],{},[],[]
B41,Paracoccidioidomycosis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],"['Brazilian blastomycosis', ""Lutz' disease""]",[],[],[],[],[],[],{},[],[]
B42,Sporotrichosis,1,Certain infectious and parasitic diseases (A00-B99),,Mycoses (B35-B49),[],[],[],[],[],[],[],[],{},[],[]
